idContact,idContactlist
13744816.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""COLVANES LTDA"" } } }"
13744817.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""COLVANES LTDA"" } } }"
13744818.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""COMBUSTIBLE DE COLOMBIA S.A"" } } }"
13744820.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""COMBUSTIBLE DE COLOMBIA S.A"" } } }"
13744824.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""COMESTIBLES ALDOR"" } } }"
13744826.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""COMFANDI"" } } }"
13744828.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""COMITÉ DEPARTAMENTAL DE CAFETEROA DEL VALLE DEL CAUCA"" } } }"
13744831.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""COMPAÑÍA DE VIG Y SEGURIDAD ATEMPI ANTIOQUIA LTDA"" } } }"
13744833.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CONCENTRADOS"" } } }"
13744835.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CONFECCIONES NOVA LTDA"" } } }"
13744837.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CONSTRUCCIONES CIVILES S.A"" } } }"
13744838.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CONSTRUCTORA ALPES"" } } }"
13744839.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CONSTRUCTORA ALPES"" } } }"
13744840.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CONSTRUCTORA BOLIVAR"" } } }"
13744841.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CONSTRUCTORA BOLIVAR CALI S.A"" } } }"
13744842.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CONSTRUCTORA CONVALLE"" } } }"
13744846.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""COOMEVA"" } } }"
13744847.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""COOMEVA"" } } }"
13744853.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CORPORACION MIXTA METROCALIDAD"" } } }"
13744855.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CORPORACIÓN PARA LA RECREACIÓN POPULAR"" } } }"
13744856.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""CRUZ ROJA SECCIONAL"" } } }"
13744857.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""DATECSA"" } } }"
13744858.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""DECORCERAMICA"" } } }"
13744862.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""DELTEC"" } } }"
13744864.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""DEQUIMICOS LTDA"" } } }"
13744865.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""DIMEL INGENIERIA"" } } }"
13744869.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""DISTRIBUIDORA LA COSTA LTDA"" } } }"
13744870.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""DISTRICOL LTDA"" } } }"
13744875.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""DITE S.A"" } } }"
13744877.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""DUQUE VILLALBA S.A"" } } }"
13744878.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""EDUARDOÑO"" } } }"
13744879.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""ELEMENTOS ELECTRICOS SA"" } } }"
13744880.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""EMCALI"" } } }"
13744881.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""EMI S.A"" } } }"
13744886.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""EQUIPELCO SA"" } } }"
13744887.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""ESPUMAS DEL VALLE"" } } }"
13744888.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""ESTRUMETAL S.A"" } } }"
13744890.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""ETAGRO Y CIA S EN CS"" } } }"
13744891.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""ETERNIT PACIFICO S.A"" } } }"
13744894.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""EVOLUCION"" } } }"
13744898.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""FANALCA S.A"" } } }"
13744900.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""FERIAS EVENTOS"" } } }"
13744901.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""FERRO INDUSTRIAL LTDA"" } } }"
13744903.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""FINESA"" } } }"
13744905.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""FRAGANCIA Y SABORES"" } } }"
13744906.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""FRAGANCIA Y SABORES"" } } }"
13744907.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""FUNDACCION FESSOCIAL"" } } }"
13744910.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""GANDINI Y OROZCO LTDA INGENIEROS"" } } }"
13744911.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""GENFAR S.A"" } } }"
13744913.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""GERENCIA SELECTA"" } } }"
13744916.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""GIORGIO SPORT"" } } }"
13744920.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""GPM"" } } }"
13744921.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""GRANJA OASIS"" } } }"
13744922.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""GRUPO ALAN S.A"" } } }"
13744923.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""GRUPO HPG"" } } }"
13744924.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""GRUPO NORMANDIA"" } } }"
13744925.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""HAZCLEAN COLOMBIA SAS"" } } }"
13744926.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""HERNANDO  OROZCO Y CIA S EN CS"" } } }"
13744927.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""HOSPITAL DEPARTAMENTAL PSIQUIATRICO UNIVERSITARIO DEL VALLE"" } } }"
13744928.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""HOTEL RADISON"" } } }"
13744929.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""IME"" } } }"
13744930.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""IMECOL S A"" } } }"
13744931.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""IMPADOC S.A"" } } }"
13744932.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""IMPADOC SA"" } } }"
13744933.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""IMPORINOX SAS"" } } }"
13744934.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""IMPORTACIONES EL CRISOL LTDA"" } } }"
13744937.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""IMPORTACIONES FENIX"" } } }"
13744938.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INARCA"" } } }"
13744939.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INDEPENDIENTE"" } } }"
13744940.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INDEPENDIENTE"" } } }"
13744943.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INDUSENALES SAS"" } } }"
13744952.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INGENIO PICHICHI"" } } }"
13744953.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INGENIO PROVIDENCIA"" } } }"
13744954.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INGENIO SAN CARLOS"" } } }"
13744958.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INORCA LTDA"" } } }"
13744960.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INTEGRA CONSULTING LTDA"" } } }"
13744961.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INTERSALUD OCUPACIONAL"" } } }"
13744962.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INTERSALUD OCUPACIONAL"" } } }"
13744963.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INTERSALUD OCUPACIONAL"" } } }"
13744964.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INTERSALUD OCUPACIONAL"" } } }"
13744965.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""INVERCOOB SEDE PRINCIPAL"" } } }"
13744966.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""JHONSON CONTROLS"" } } }"
13744968.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""JM INMOBILIARIA"" } } }"
13744969.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""KOOLL IMPORTACIONES SAS"" } } }"
13744970.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""LA 14"" } } }"
13744971.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""LA 14"" } } }"
13744972.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""LA TOUR S.A"" } } }"
13744973.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""LA TOUR S.A"" } } }"
13744974.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""LABORATORIO SAVANTIS ( BYSPRO)"" } } }"
13744976.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""LABORATORIOS RECAMIER"" } } }"
13744977.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""LAVATEX"" } } }"
13744978.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""LEGALITY ABOGADOS"" } } }"
13744980.0,"{ ""8990"" : { ""14154"" : { ""value"" : ""LINA DAMARIS RAMIREZ"" } } }"
